source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-06-13_2021-06-13,59378.5,2021-06-13,2021-06-13,6,2.6,3.0,4.4322e-13,1.5948e-13,4.4322e-13,1.5948e-13,0.44322,0.15948,1e-12,9.74,OK
Mkn421,day,2021-06-14_2021-06-14,59379.5,2021-06-14,2021-06-14,6,2.6,3.0,6.1773e-13,1.6569e-13,6.1773e-13,1.6569e-13,0.61773,0.16569,1e-12,23.68,OK
Mkn421,day,2021-06-15_2021-06-15,59380.5,2021-06-15,2021-06-15,6,2.6,3.0,3.4253e-13,1.5085e-13,3.4253e-13,1.5085e-13,0.34253,0.15085,1e-12,6.6,OK
Mkn421,day,2021-06-16_2021-06-16,59381.5,2021-06-16,2021-06-16,5,2.6,3.0,8.6384e-13,1.7484e-13,8.6384e-13,1.7484e-13,0.86384,0.17484,1e-12,38.34,OK
Mkn421,day,2021-06-17_2021-06-17,59382.5,2021-06-17,2021-06-17,6,2.6,3.0,7.4853e-13,1.688e-13,7.4853e-13,1.688e-13,0.74853,0.1688,1e-12,33.72,OK
Mkn421,day,2021-06-18_2021-06-18,59383.5,2021-06-18,2021-06-18,6,2.6,3.0,9.946e-13,1.6937e-13,9.946e-13,1.6937e-13,0.9946,0.16937,1e-12,59.18,OK
Mkn421,day,2021-06-19_2021-06-19,59384.5,2021-06-19,2021-06-19,6,2.6,3.0,1.43619e-12,1.8416e-13,1.43619e-12,1.8416e-13,1.43619,0.18416,1e-12,110.64,OK
Mkn421,day,2021-06-20_2021-06-20,59385.5,2021-06-20,2021-06-20,6,2.6,3.0,1.04232e-12,1.769e-13,1.04232e-12,1.769e-13,1.04232,0.1769,1e-12,53.07,OK
Mkn421,day,2021-06-21_2021-06-21,59386.5,2021-06-21,2021-06-21,6,2.6,3.0,7.3375e-13,1.5762e-13,7.3375e-13,1.5762e-13,0.73375,0.15762,1e-12,34.73,OK
Mkn421,day,2021-06-22_2021-06-22,59387.5,2021-06-22,2021-06-22,4,2.6,3.0,1.0134e-12,1.8786e-13,1.0134e-12,1.8786e-13,1.0134,0.18786,1e-12,46.55,OK
Mkn421,day,2021-06-23_2021-06-23,59388.5,2021-06-23,2021-06-23,6,2.6,3.0,3.5393e-13,1.6429e-13,3.5393e-13,1.6429e-13,0.35393,0.16429,1e-12,6.26,OK
Mkn421,day,2021-06-24_2021-06-24,59389.5,2021-06-24,2021-06-24,6,2.6,3.0,2.5516e-13,1.2589e-13,2.5516e-13,1.2589e-13,0.25516,0.12589,1e-12,6.77,OK
