source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,week,2023-01-02_2023-01-08,59949.5,2023-01-02,2023-01-08,41,2.6,3.0,2.36504e-12,8.127e-14,2.36504e-12,8.127e-14,2.36504,0.08127,1e-12,1508.96,OK
Mkn421,week,2023-01-09_2023-01-15,59956.5,2023-01-09,2023-01-15,42,2.6,3.0,3.93202e-12,9.136e-14,3.93202e-12,9.136e-14,3.93202,0.09136,1e-12,3658.91,OK
Mkn421,week,2023-01-16_2023-01-22,59963.5,2023-01-16,2023-01-22,42,2.6,3.0,3.39575e-12,8.754e-14,3.39575e-12,8.754e-14,3.39575,0.08754,1e-12,2986.38,OK
Mkn421,week,2023-01-23_2023-01-29,59970.5,2023-01-23,2023-01-29,42,2.6,3.0,2.08959e-12,7.786e-14,2.08959e-12,7.786e-14,2.08959,0.07786,1e-12,1329.79,OK
Mkn421,week,2023-01-30_2023-02-05,59977.5,2023-01-30,2023-02-05,42,2.6,3.0,1.47459e-12,7.334e-14,1.47459e-12,7.334e-14,1.47459,0.07334,1e-12,650.62,OK
Mkn421,week,2023-02-06_2023-02-12,59984.5,2023-02-06,2023-02-12,42,2.6,3.0,2.20606e-12,7.974e-14,2.20606e-12,7.974e-14,2.20606,0.07974,1e-12,1400.9,OK
Mkn421,week,2023-02-13_2023-02-19,59991.5,2023-02-13,2023-02-19,42,2.6,3.0,1.36916e-12,7.099e-14,1.36916e-12,7.099e-14,1.36916,0.07099,1e-12,631.42,OK
Mkn421,week,2023-02-20_2023-02-26,59998.5,2023-02-20,2023-02-26,42,2.6,3.0,6.0422e-13,6.284e-14,6.0422e-13,6.284e-14,0.60422,0.06284,1e-12,127.37,OK
Mkn421,week,2023-02-27_2023-03-05,60005.5,2023-02-27,2023-03-05,36,2.6,3.0,4.9766e-13,5.913e-14,4.9766e-13,5.913e-14,0.49766,0.05913,1e-12,98.06,OK
Mkn421,week,2023-03-06_2023-03-12,60012.5,2023-03-06,2023-03-12,40,2.6,3.0,5.4198e-13,6.007e-14,5.4198e-13,6.007e-14,0.54198,0.06007,1e-12,123.2,OK
Mkn421,week,2023-03-13_2023-03-19,60019.5,2023-03-13,2023-03-19,42,2.6,3.0,6.9345e-13,6.307e-14,6.9345e-13,6.307e-14,0.69345,0.06307,1e-12,179.32,OK
Mkn421,week,2023-03-20_2023-03-26,60026.5,2023-03-20,2023-03-26,42,2.6,3.0,9.2177e-13,6.675e-14,9.2177e-13,6.675e-14,0.92177,0.06675,1e-12,288.16,OK
Mkn421,week,2023-03-27_2023-04-02,60033.5,2023-03-27,2023-04-02,42,2.6,3.0,1.03591e-12,6.734e-14,1.03591e-12,6.734e-14,1.03591,0.06734,1e-12,373.79,OK
Mkn421,week,2023-04-03_2023-04-09,60040.5,2023-04-03,2023-04-09,42,2.6,3.0,1.74189e-12,7.516e-14,1.74189e-12,7.516e-14,1.74189,0.07516,1e-12,920.91,OK
Mkn421,week,2023-04-10_2023-04-16,60047.5,2023-04-10,2023-04-16,40,2.6,3.0,1.43636e-12,7.165e-14,1.43636e-12,7.165e-14,1.43636,0.07165,1e-12,672.52,OK
Mkn421,week,2023-04-17_2023-04-23,60054.5,2023-04-17,2023-04-23,34,2.6,3.0,3.59103e-12,8.768e-14,3.59103e-12,8.768e-14,3.59103,0.08768,1e-12,3416.44,OK
Mkn421,week,2023-04-24_2023-04-30,60061.5,2023-04-24,2023-04-30,38,2.6,3.0,1.41569e-12,7.586e-14,1.41569e-12,7.586e-14,1.41569,0.07586,1e-12,577.6,OK
Mkn421,week,2023-05-01_2023-05-07,60068.5,2023-05-01,2023-05-07,42,2.6,3.0,1.68008e-12,7.349e-14,1.68008e-12,7.349e-14,1.68008,0.07349,1e-12,938.91,OK
Mkn421,week,2023-05-08_2023-05-14,60075.5,2023-05-08,2023-05-14,41,2.6,3.0,2.75254e-12,8.246e-14,2.75254e-12,8.246e-14,2.75254,0.08246,1e-12,2193.45,OK
Mkn421,week,2023-05-15_2023-05-21,60082.5,2023-05-15,2023-05-21,42,2.6,3.0,1.72098e-12,7.564e-14,1.72098e-12,7.564e-14,1.72098,0.07564,1e-12,904.61,OK
Mkn421,week,2023-05-22_2023-05-28,60089.5,2023-05-22,2023-05-28,41,2.6,3.0,2.33254e-12,7.784e-14,2.33254e-12,7.784e-14,2.33254,0.07784,1e-12,1775.16,OK
Mkn421,week,2023-05-29_2023-06-04,60096.5,2023-05-29,2023-06-04,42,2.6,3.0,8.3023e-13,6.323e-14,8.3023e-13,6.323e-14,0.83023,0.06323,1e-12,276.37,OK
Mkn421,week,2023-06-05_2023-06-11,60103.5,2023-06-05,2023-06-11,42,2.6,3.0,6.9639e-13,6.025e-14,6.9639e-13,6.025e-14,0.69639,0.06025,1e-12,216.49,OK
Mkn421,week,2023-06-12_2023-06-18,60110.5,2023-06-12,2023-06-18,42,2.6,3.0,6.2575e-13,6.031e-14,6.2575e-13,6.031e-14,0.62575,0.06031,1e-12,166.86,OK
Mkn421,week,2023-06-19_2023-06-25,60117.5,2023-06-19,2023-06-25,42,2.6,3.0,1.67897e-12,7.214e-14,1.67897e-12,7.214e-14,1.67897,0.07214,1e-12,1001.24,OK
Mkn421,week,2023-06-26_2023-07-02,60124.5,2023-06-26,2023-07-02,42,2.6,3.0,1.7448e-12,7.283e-14,1.7448e-12,7.283e-14,1.7448,0.07283,1e-12,1072.12,OK
Mkn421,week,2023-07-03_2023-07-09,60131.5,2023-07-03,2023-07-09,42,2.6,3.0,3.1056e-13,5.435e-14,3.1056e-13,5.435e-14,0.31056,0.05435,1e-12,44.06,OK
Mkn421,week,2023-07-10_2023-07-16,60138.5,2023-07-10,2023-07-16,42,2.6,3.0,1.11672e-12,6.567e-14,1.11672e-12,6.567e-14,1.11672,0.06567,1e-12,496.68,OK
Mkn421,week,2023-07-17_2023-07-23,60145.5,2023-07-17,2023-07-23,42,2.6,3.0,1.2252e-12,6.698e-14,1.2252e-12,6.698e-14,1.2252,0.06698,1e-12,586.23,OK
Mkn421,week,2023-07-24_2023-07-30,60152.5,2023-07-24,2023-07-30,37,2.6,3.0,8.8685e-13,6.781e-14,8.8685e-13,6.781e-14,0.88685,0.06781,1e-12,280.17,OK
