# ra : 166.114
# dec : 38.209
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2022-02-07_2022-02-13,59620.16686990748,"[44667.0, 5205.0, 643.0, 68.0, 11.0, 0.0, 0.0]","[43667.0620073185, 4863.63560092688, 485.23227152156505, 32.04895937278298, 8.30709246685653, 0.6021153872259813, 0.20572977590989835]","[1494758678.7884722, 166368333.4990746, 16610907.721773135, 1094597.5058031066, 282116.79165951785, 20222.80381821729, 7202.742840010893]",203753.8
2022-02-14_2022-02-20,59627.16690486121,"[44954.0, 5244.0, 598.0, 45.0, 16.0, 0.0, 0.0]","[43991.77400549576, 4885.425836059292, 481.13495951353394, 31.577812002326574, 7.756617886853058, 0.62761519372209, 0.2274365133747281]","[1498890229.9824076, 166253455.43010512, 16376935.468785979, 1072093.1459895927, 264255.5589945181, 21893.238822975516, 7764.265487043717]",203716.2
2022-02-21_2022-02-27,59634.16683993064,"[43261.0, 4899.0, 527.0, 49.0, 8.0, 1.0, 0.0]","[42910.10630137046, 4697.957809555319, 459.41913604205195, 30.840005638412254, 7.65864142805244, 0.6846230536633492, 0.2598044061266183]","[1478057057.599253, 161678150.26847607, 15795988.128967643, 1058457.9139549911, 263368.3905466858, 23230.992872425802, 8705.327250995066]",203654.9
2022-02-28_2022-03-06,59641.166850115726,"[42635.0, 4996.0, 553.0, 53.0, 13.0, 0.0, 1.0]","[42586.68124635978, 4688.584793776592, 455.18654696123855, 29.917209571876846, 7.2566027633090835, 0.516559530080234, 0.18955537640095457]","[1471029294.1928897, 161949468.88051647, 15713905.816515619, 1031833.6311236472, 251641.8443520462, 18394.16591941208, 6271.264770461148]",203845.8
2022-03-07_2022-03-13,59648.16671736075,"[39630.0, 4509.0, 485.0, 30.0, 8.0, 3.0, 0.0]","[39094.29484055265, 4249.505730170523, 406.58125857860443, 26.338657891317443, 6.129031506098707, 0.6196503002183805, 0.22408811824323704]","[1320099329.845304, 143429025.43285516, 13705910.627194522, 888406.0991631887, 205994.90251291188, 20902.549152548283, 7198.620122435351]",198591.7
2022-03-14_2022-03-20,59655.16690104192,"[41004.0, 4494.0, 388.0, 29.0, 6.0, 1.0, 0.0]","[40735.80734173367, 4389.518422384722, 413.75729532574604, 26.625251913616008, 6.130713628060895, 0.5056624441459385, 0.219014545897045]","[1410198050.9165547, 151910428.69442913, 14313722.485261412, 919608.8541597711, 212076.89200256698, 17444.575172774345, 7146.951114539331]",203805.5
2022-03-21_2022-03-27,59662.16696226853,"[41753.0, 4676.0, 450.0, 42.0, 10.0, 0.0, 0.0]","[41166.385660805754, 4449.977956105797, 418.2449900311506, 26.060489806393807, 6.528213918973764, 0.5050248816801873, 0.2217478911996634]","[1414080326.4189842, 152802718.50815275, 14354871.555126129, 894482.1713908559, 223015.6041637465, 17312.95985788719, 7220.784812710119]",202480.0
2022-03-28_2022-04-03,59669.166778935,"[39098.0, 4500.0, 488.0, 38.0, 11.0, 0.0, 0.0]","[39038.241735366915, 4174.4636420581, 393.0977048327138, 25.294465217744065, 6.211295866363632, 0.5193075211333932, 0.2694186404720669]","[1342394446.6509638, 143455629.67958245, 13499756.733926903, 864816.2984121485, 210950.4649652081, 16588.85958673264, 8486.567229519695]",201739.2
2022-04-04_2022-04-10,59676.16661817132,"[35828.0, 4040.0, 444.0, 54.0, 21.0, 1.0, 0.0]","[35209.65588095823, 3668.4252277598985, 338.3014198902365, 21.453785882308864, 5.338817899093183, 0.4158039979891143, 0.17465520138739069]","[1186107138.900597, 123566426.3555848, 11369136.94157675, 723138.4494814776, 180734.88729245163, 14547.841143564057, 6162.664297665138]",203400.6
2022-04-11_2022-04-17,59683.16650127327,"[39421.0, 4299.0, 495.0, 41.0, 10.0, 0.0, 0.0]","[38933.544793481145, 4104.953170957957, 374.6971820934225, 23.598298180933725, 6.062053916660282, 0.34426300417557976, 0.22837670195790694]","[1351192624.0164564, 142384231.61888653, 12995906.395725027, 819858.0245439286, 209696.80313652765, 11940.746968285604, 8318.89350370102]",203755.9
2022-04-18_2022-04-24,59690.16679131911,"[39888.0, 4291.0, 446.0, 25.0, 7.0, 2.0, 0.0]","[39670.360919816936, 4240.037303774586, 393.27138163657986, 25.20324156271372, 6.361623682820921, 0.5854212373228681, 0.24685646316387633]","[1369458732.4564545, 146211502.9949908, 13563107.902934674, 870012.8002707975, 218197.6693360935, 20478.233124038004, 7955.419335617534]",203766.6
2022-04-25_2022-05-01,59697.16674571783,"[40342.0, 4501.0, 474.0, 36.0, 10.0, 1.0, 0.0]","[39858.03423978732, 4341.557499066654, 407.3665574135349, 25.63877698276382, 6.4208657278711145, 0.5066568581438825, 0.21832927525902682]","[1221294825.1098404, 133978214.78988494, 12625049.605805874, 800623.6731123938, 199845.98609124575, 16226.254828808153, 6850.162443702986]",186042.0
2022-05-02_2022-05-08,59704.16650463019,"[40567.0, 4878.0, 528.0, 51.0, 13.0, 1.0, 1.0]","[40006.52510179999, 4561.551935419647, 453.41558899325, 28.957691224893882, 6.944208494368456, 0.449875991933506, 0.26547251873702216]","[1382788358.79022, 157606494.3557522, 15680896.633501481, 1002878.5124183522, 240978.71865813137, 15962.90189054258, 8503.153842323713]",203681.5
2022-05-09_2022-05-15,59711.16671157407,"[41961.0, 5130.0, 683.0, 73.0, 30.0, 3.0, 0.0]","[40822.256943316585, 4644.679041789501, 450.15479120619204, 28.184895823023705, 6.231993867936035, 0.570630278176234, 0.2885786854189829]","[1410316805.7204406, 160463191.13645437, 15552104.128856564, 971682.3588535776, 215128.79985952325, 19608.284668532982, 8727.853553322839]",203785.9
2022-05-16_2022-05-22,59718.16637986089,"[41445.0, 5589.0, 1020.0, 158.0, 79.0, 14.0, 1.0]","[39962.448275936425, 4586.428990444221, 452.4093470494269, 27.869825517394347, 6.494276067989427, 0.5159190794134556, 0.2372589992303664]","[1291827923.694435, 148185710.1709961, 14608655.815040397, 900212.4939164373, 208574.5601094093, 17026.80870031607, 8044.882264344076]",196072.1
2022-05-23_2022-05-29,59725.16671539346,"[41590.0, 4993.0, 676.0, 74.0, 22.0, 2.0, 0.0]","[41217.666994444444, 4668.774239808605, 451.0355419164156, 27.602201671956003, 6.348157846705441, 0.4785042474582745, 0.24272134755289113]","[1386278727.0417576, 156899121.43086812, 15148335.421786228, 923881.1609975818, 212749.46525042102, 15771.728040676913, 7579.613717421554]",199958.1
2022-05-30_2022-06-05,59732.16694317115,"[41240.0, 5082.0, 699.0, 72.0, 29.0, 4.0, 0.0]","[40360.886301470026, 4584.87543565765, 443.49280409423926, 27.80399356067434, 6.3184615773795505, 0.48700173778851086, 0.20582012036545685]","[1342948915.0979652, 152712111.515461, 14797382.300868733, 924795.291234625, 210693.15309923154, 15938.265375522347, 6900.368244275405]",191447.6
2022-06-06_2022-06-12,59739.16687361122,"[38697.0, 4707.0, 638.0, 78.0, 25.0, 3.0, 0.0]","[37895.798674641694, 4335.606545159633, 424.06756612833976, 26.48615323411133, 5.955587484853316, 0.3821679593200481, 0.18212820662955553]","[1269289367.446748, 145573563.77668124, 14304045.772651125, 900432.4209612315, 200609.44314631834, 13953.961584328228, 6773.413084122953]",191066.6
2022-06-13_2022-06-19,59746.1670091434,"[37855.0, 4732.0, 598.0, 44.0, 21.0, 3.0, 0.0]","[37030.52456316027, 4263.256849791076, 421.29744861994106, 25.97555471657392, 5.858140577429732, 0.4294462693628213, 0.19607971391330528]","[1245735214.3060484, 143766127.543263, 14272231.853442688, 884628.2291478871, 197928.81058651823, 14697.994864316839, 6940.40954793798]",184331.2
2022-06-20_2022-06-26,59753.167018634485,"[30954.0, 3728.0, 467.0, 43.0, 11.0, 0.0, 0.0]","[30247.472982457468, 3406.020631105117, 326.9862802538221, 19.464613393706877, 4.4884561845211906, 0.3330379594430693, 0.20264811944076727]","[866088717.4885345, 98736560.34251443, 9588256.493128408, 579743.5568639408, 129895.08669112972, 9905.460036248407, 5905.985268628941]",144399.3
