mjd,flux,flux_err
57828.49994212963,1.4984543e-07,3.3095276e-08
57835.49994212963,2.2967801e-07,3.4898846e-08
57842.49994212963,1.2919813e-07,3.088307e-08
57849.49994212963,1.5446608e-07,2.045155e-08
57856.49994212963,2.402101e-07,3.8548855e-08
57863.49994212963,2.3575619e-07,4.0225792e-08
57870.49994212963,1.485021e-07,2.9679013e-08
57877.49994212963,1.8032205e-07,3.4332444e-08
57884.49994212963,7.8853e-08,2.4523064e-08
57891.49994212963,1.800633e-07,3.470302e-08
57898.49994212963,1.8386598e-07,3.4492356e-08
57905.49994212963,1.6109391e-07,3.3723108e-08
57912.49994212963,1.2508559e-07,2.8950382e-08
57919.49994212963,2.0867544e-07,4.309064e-08
57926.49994212963,1.2697421e-07,3.1726017e-08
57933.49994212963,1.15245605e-07,3.700734e-08
57940.49994212963,1.04595735e-07,3.122529e-08
57947.49994212963,1.9535575e-07,3.2276496e-08
57954.49994212963,2.0027441e-07,3.5496836e-08
57961.49994212963,1.4293055e-07,3.357821e-08
57968.49994212963,9.95973e-08,2.9615878e-08
57975.49994212963,1.1855843e-07,2.9297905e-08
57982.49994212963,1.7878351e-07,3.386012e-08
57989.49994212963,1.5460498e-07,3.2134636e-08
57996.49994212963,1.7249597e-07,3.0015016e-08
58003.49994212963,1.4711541e-07,3.2972153e-08
58010.49994212963,2.0098568e-07,4.5868198e-08
58017.49994212963,2.5955424e-07,4.4712447e-08
58024.49994212963,1.6923734e-07,3.674829e-08
58031.49994212963,2.0537988e-07,3.718289e-08
58038.49994212963,1.4334425e-07,3.5843044e-08
58045.49994212963,1.7629837e-07,3.469047e-08
58052.49994212963,2.1222318e-07,3.75894e-08
58059.49994212963,1.9440641e-07,3.6330626e-08
58066.49994212963,1.7557055e-07,3.4959843e-08
58073.49994212963,1.6218391e-07,3.3329655e-08
58080.49994212963,2.0514612e-07,2.9792194e-08
58087.49994212963,2.217676e-07,3.2551995e-08
58094.49994212963,1.7818576e-07,3.7386627e-08
58101.49994212963,2.318217e-07,3.1352428e-08
58108.49994212963,2.5260883e-07,3.369634e-08
58115.49994212963,2.4277264e-07,3.6981636e-08
58122.49994212963,1.9364656e-07,3.2296356e-08
58129.49994212963,2.5592024e-07,3.5682707e-08
58136.49994212963,3.3226996e-07,4.9131142e-08
58143.49994212963,3.3913673e-07,4.733758e-08
58150.49994212963,3.747395e-07,6.4439654e-08
58157.49994212963,4.4575108e-07,4.9620827e-08
58164.49994212963,5.2951856e-07,4.9468298e-08
58171.49994212963,2.9169806e-07,4.2643652e-08
58178.49994212963,1.8236395e-07,3.717196e-08
58185.49994212963,1.9627232e-07,3.012969e-08
58227.49994212963,2.4624276e-07,3.401726e-08
58234.49994212963,8.7526516e-08,1.3464413e-08
58241.49994212963,1.5432342e-07,2.2688898e-08
58248.49994212963,2.5218296e-07,2.593279e-08
58262.49994212963,1.3175737e-07,2.5383205e-08
58269.49994212963,1.3427396e-07,2.7010483e-08
58276.49994212963,1.8542796e-07,3.117361e-08
58283.49994212963,3.4684723e-07,9.7850304e-08
58290.49994212963,1.2417321e-07,2.4567967e-08
58297.49994212963,1.4655207e-07,5.809755e-09
58304.49994212963,2.2161524e-07,6.550395e-08
58311.49994212963,1.6051955e-07,3.3949284e-08
58318.49994212963,6.739008e-08,2.0827246e-08
58325.49994212963,1.05669635e-07,4.9691273e-08
58332.49994212963,7.7134494e-08,2.4749365e-08
58339.49994212963,1.135622e-07,2.3949463e-08
58346.49994212963,1.10450856e-07,3.3272702e-08
58360.49994212963,1.0771365e-06,3.50908e-07
58374.49994212963,1.17750716e-07,3.219336e-08
58381.49994212963,1.302167e-07,2.21464e-08
58388.49994212963,1.1148479e-07,2.3423345e-08
58395.49994212963,1.2107677e-07,2.3764176e-08
58416.49994212963,8.575609e-08,2.3194426e-08
58423.49994212963,1.4295397e-07,2.0641846e-08
58430.49994212963,1.7774123e-07,2.5266715e-08
58437.49994212963,1.8675324e-07,3.3433135e-08
58444.49994212963,1.1698733e-07,2.1941679e-08
58451.49994212963,1.352363e-07,2.5927996e-08
58458.49994212963,1.6266037e-07,2.68604e-08
58465.49994212963,1.5688833e-07,2.5762365e-08
58472.49994212963,1.5655625e-07,2.7737656e-08
58479.49994212963,1.3401016e-07,2.9922273e-08
58486.49994212963,1.3246276e-07,3.059863e-08
58493.49994212963,8.977609e-08,5.2101324e-08
58500.49994212963,2.5248224e-07,4.4156852e-08
58507.49994212963,1.0884133e-07,2.2898876e-08
58514.49994212963,7.211721e-08,2.9181972e-08
58535.49994212963,1.6834093e-07,3.6391715e-08
58542.49994212963,1.1986319e-07,4.8967472e-08
58549.49994212963,1.4361075e-07,3.2659322e-08
58556.49994212963,2.1313619e-07,3.238094e-08
58563.49994212963,2.0048199e-07,3.0245438e-08
58570.49994212963,2.1738458e-07,3.1776928e-08
58577.49994212963,1.0021826e-07,2.2080007e-08
58584.49994212963,1.8585486e-07,2.7783814e-08
58591.49994212963,1.6953074e-07,2.4735305e-08
58598.49994212963,1.3584426e-07,2.5779528e-08
58605.49994212963,1.2485063e-07,3.2981234e-08
