# time	flux
# # inc=90.00, dt=1.0, N=484
9.55000000e+02	5.31598029e-01
9.56000000e+02	5.27890910e-01
9.57000000e+02	5.28865485e-01
9.58000000e+02	5.36461663e-01
9.59000000e+02	5.39757815e-01
9.60000000e+02	5.35164792e-01
9.61000000e+02	5.30686345e-01
9.62000000e+02	5.26027497e-01
9.63000000e+02	5.25230008e-01
9.64000000e+02	5.26130609e-01
9.65000000e+02	5.29697813e-01
9.66000000e+02	5.32290796e-01
9.67000000e+02	5.33430076e-01
9.68000000e+02	5.32522326e-01
9.69000000e+02	5.25819186e-01
9.70000000e+02	5.23711620e-01
9.71000000e+02	5.29096323e-01
9.72000000e+02	5.33494403e-01
9.73000000e+02	5.36590199e-01
9.74000000e+02	5.36403907e-01
9.75000000e+02	5.35917799e-01
9.76000000e+02	5.39986160e-01
9.77000000e+02	5.33113207e-01
9.78000000e+02	5.32517667e-01
9.79000000e+02	5.37080854e-01
9.80000000e+02	5.40901488e-01
9.81000000e+02	5.38650849e-01
9.82000000e+02	5.34209626e-01
9.83000000e+02	5.30497145e-01
9.84000000e+02	5.29509378e-01
9.85000000e+02	5.29825102e-01
9.86000000e+02	5.32354037e-01
9.87000000e+02	5.37455761e-01
9.88000000e+02	5.39485654e-01
9.89000000e+02	5.38998525e-01
9.90000000e+02	5.38382813e-01
9.91000000e+02	5.40265512e-01
9.92000000e+02	5.40537138e-01
9.93000000e+02	5.43035520e-01
9.94000000e+02	5.42676489e-01
9.95000000e+02	5.43800593e-01
9.96000000e+02	5.44963127e-01
9.97000000e+02	5.40832147e-01
9.98000000e+02	5.38677655e-01
9.99000000e+02	5.37942373e-01
1.00000000e+03	5.40974685e-01
1.00100000e+03	5.46234386e-01
1.00200000e+03	5.43216803e-01
1.00300000e+03	5.44131203e-01
1.00400000e+03	5.47480965e-01
1.00500000e+03	5.47279132e-01
1.00600000e+03	5.45527434e-01
1.00700000e+03	5.40649728e-01
1.00800000e+03	5.33683338e-01
1.00900000e+03	5.35986565e-01
1.01000000e+03	5.44750395e-01
1.01100000e+03	5.45203607e-01
1.01200000e+03	5.41077632e-01
1.01300000e+03	5.34101750e-01
1.01400000e+03	5.31014614e-01
1.01500000e+03	5.37753335e-01
1.01600000e+03	5.44808005e-01
1.01700000e+03	5.48063075e-01
1.01800000e+03	5.50396305e-01
1.01900000e+03	5.51934744e-01
1.02000000e+03	5.48818071e-01
1.02100000e+03	5.47711490e-01
1.02200000e+03	5.45074818e-01
1.02300000e+03	5.41790407e-01
1.02400000e+03	5.42436280e-01
1.02500000e+03	5.44465378e-01
1.02600000e+03	5.45208468e-01
1.02700000e+03	5.43685213e-01
1.02800000e+03	5.39328593e-01
1.02900000e+03	5.35131479e-01
1.03000000e+03	5.31078932e-01
1.03100000e+03	5.40605868e-01
1.03200000e+03	5.50110764e-01
1.03300000e+03	5.55062329e-01
1.03400000e+03	5.50509752e-01
1.03500000e+03	5.47596668e-01
1.03600000e+03	5.44838295e-01
1.03700000e+03	5.44451335e-01
1.03800000e+03	5.44884030e-01
1.03900000e+03	5.48451182e-01
1.04000000e+03	5.49156998e-01
1.04100000e+03	5.50594617e-01
1.04200000e+03	5.49994334e-01
1.04300000e+03	5.42781919e-01
1.04400000e+03	5.31080740e-01
1.04500000e+03	5.29034931e-01
1.04600000e+03	5.34556710e-01
1.04700000e+03	5.38099427e-01
1.04800000e+03	5.46809169e-01
1.04900000e+03	5.56453410e-01
1.05000000e+03	5.52340826e-01
1.05100000e+03	5.45659577e-01
1.05200000e+03	5.39924843e-01
1.05300000e+03	5.39843804e-01
1.05400000e+03	5.43855844e-01
1.05500000e+03	5.50278525e-01
1.05600000e+03	5.53755967e-01
1.05700000e+03	5.56713610e-01
1.05800000e+03	5.46541096e-01
1.05900000e+03	5.34233220e-01
1.06000000e+03	5.25044289e-01
1.06100000e+03	5.23103804e-01
1.06200000e+03	5.29397814e-01
1.06300000e+03	5.38911708e-01
1.06400000e+03	5.49224430e-01
1.06500000e+03	5.50795587e-01
1.06600000e+03	5.45903695e-01
1.06700000e+03	5.40324798e-01
1.06800000e+03	5.37082820e-01
1.06900000e+03	5.39048785e-01
1.07000000e+03	5.42268072e-01
1.07100000e+03	5.49766566e-01
1.07200000e+03	5.52601089e-01
1.07300000e+03	5.53398568e-01
1.07400000e+03	5.50130589e-01
1.07500000e+03	5.44461581e-01
1.07600000e+03	5.38569549e-01
1.07700000e+03	5.32127348e-01
1.07800000e+03	5.36423525e-01
1.07900000e+03	5.51136262e-01
1.08000000e+03	5.59002119e-01
1.08100000e+03	5.61144612e-01
1.08200000e+03	5.57553467e-01
1.08300000e+03	5.56618342e-01
