# ra : 49.05, dec : 41.25
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2022-03-14_2022-03-20,59655.16690104192,"[36653.0, 3782.0, 371.0, 22.0, 7.0, 2.0, 0.0]","[36886.61075813291, 3967.944876552801, 368.08640888766064, 22.83351194929647, 5.828116603929268, 0.4713291306637429, 0.21618797560412428]","[1257966985.6804104, 135257650.49037752, 12566763.644182067, 781436.7978896038, 199748.20934765408, 16642.764198845067, 6991.938651155401]",203935.6
2022-03-21_2022-03-27,59662.16696226853,"[37244.0, 3968.0, 349.0, 18.0, 3.0, 2.0, 0.0]","[37499.34547092026, 4019.407261053216, 372.1339349572017, 23.666719572952726, 5.791526080365159, 0.45991375083604913, 0.22545830516899915]","[1275457572.9787147, 136839405.00846243, 12692417.161479758, 807898.6566062375, 198040.9397780707, 15713.184944051043, 6996.40011160075]",203944.4
2022-03-28_2022-04-03,59669.166778935,"[33018.0, 3601.0, 317.0, 24.0, 7.0, 0.0, 0.0]","[33111.21237144814, 3530.2695723299857, 326.7321660302019, 20.599808254055336, 5.021657986497346, 0.5874774540440076, 0.17395603959660125]","[1122665211.8269117, 119757942.67194217, 11103913.835801035, 700801.0639216722, 171306.65612179984, 19196.845535279095, 5541.52179077415]",187678.7
2022-04-04_2022-04-10,59676.16661817132,"[21173.0, 2317.0, 219.0, 8.0, 2.0, 0.0, 0.0]","[20904.961171069164, 2223.9373245478178, 204.6376517103781, 13.174569698875919, 3.547798118190663, 0.35740567427063125, 0.05744445435718707]","[685872484.2506877, 72657127.88190989, 6683003.222191594, 428010.58139579085, 114694.57212045448, 11854.48105018072, 1946.859936448117]",147117.3
2022-04-11_2022-04-17,59683.16650127327,"[35204.0, 3735.0, 356.0, 15.0, 8.0, 0.0, 1.0]","[35037.373899164435, 3668.5448671553195, 331.6322482751958, 19.683733668636897, 5.530335923577802, 0.4911120387432238, 0.1581311481943167]","[1198446330.7568471, 125441997.40770009, 11343255.010451708, 674665.3828381237, 189110.31374928978, 16397.345403660103, 5383.409316762292]",203888.9
2022-04-18_2022-04-24,59690.16679131911,"[31574.0, 3478.0, 332.0, 20.0, 8.0, 0.0, 0.0]","[31377.595111969775, 3343.0131652482523, 303.81933608233567, 18.714311260268136, 4.898898072593672, 0.38269802126723984, 0.16024359557740833]","[1074093688.191726, 114593885.22623703, 10446975.643877927, 646726.9353761426, 169870.699008279, 13322.61983100907, 5208.451637974997]",181544.0
2022-04-25_2022-05-01,59697.16674571783,"[15832.0, 1734.0, 167.0, 7.0, 2.0, 0.0, 0.0]","[15713.967957456007, 1717.8576486488673, 164.7707514386239, 9.840184874622908, 2.581709527800306, 0.2432383999694771, 0.037903613545999686]","[537330569.0726656, 58726825.76542434, 5631625.530522759, 335189.9943478769, 88507.98893455406, 8456.233572009445, 1700.0466481151725]",89943.6
2022-05-02_2022-05-08,59704.16650463019,"[31363.0, 3577.0, 345.0, 32.0, 4.0, 2.0, 0.0]","[31374.72868647592, 3585.318531310624, 351.14227874015876, 23.17617112458654, 5.81478924768463, 0.5215983630081461, 0.11496234371561465]","[1082047731.8843946, 123642380.76294194, 12115451.224946193, 799593.3061235105, 200668.435971808, 18676.32991408439, 4653.010330495254]",183267.7
2022-05-09_2022-05-15,59711.16671157407,"[35752.0, 4085.0, 408.0, 29.0, 6.0, 0.0, 1.0]","[35726.544871002865, 4030.948352332363, 387.4558229949236, 24.28506719344577, 5.753020531043835, 0.5218724044645277, 0.16027532183147628]","[1220949077.66521, 137803187.25640452, 13244052.150497105, 832109.6779539464, 196507.63629204678, 16683.11981692616, 5985.937648782703]",192737.3
2022-05-16_2022-05-22,59718.16637986089,"[21736.0, 2488.0, 254.0, 21.0, 4.0, 0.0, 0.0]","[21657.28139334084, 2495.633281200183, 243.45175499485063, 15.851122022312373, 3.669978382346792, 0.1880642449753596, 0.0688798799625051]","[739791669.0246494, 84988155.7303455, 8296365.343787111, 538306.8884735302, 124825.87458889226, 6672.745037903092, 2556.966893058921]",126354.6
2022-05-23_2022-05-29,59725.16671539346,"[26908.0, 3014.0, 310.0, 19.0, 6.0, 1.0, 0.0]","[26850.348762926646, 3035.1551911976435, 289.26528609141775, 17.983626298618795, 4.443068311518169, 0.38249601370553515, 0.09999337361430327]","[923006999.10479, 104141605.5264849, 9907589.2729709, 612632.1311298024, 152794.77867988768, 12821.545965595493, 3045.996846857096]",151616.6
2022-05-30_2022-06-05,59732.16694317115,"[36753.0, 4243.0, 412.0, 27.0, 6.0, 0.0, 1.0]","[37059.63910133315, 4216.80794167451, 406.95619810259285, 24.845271036715047, 5.697390533740477, 0.5059294148534271, 0.16203837076379407]","[1259326454.7737446, 143195851.4637403, 13801616.567411838, 839766.1882287739, 194106.8727910131, 15843.405792235011, 5721.022753272815]",203349.7
2022-06-06_2022-06-12,59739.16687361122,"[36526.0, 4180.0, 412.0, 30.0, 7.0, 0.0, 1.0]","[36717.60660431703, 4197.907330637152, 408.63675918365504, 25.291329764107413, 5.956663589096699, 0.3975135133261529, 0.18924174842251007]","[1256652640.1654365, 143493615.6857781, 13946833.746366926, 862315.239405752, 201976.6375733667, 13101.869997104803, 6047.102485869388]",204062.3
2022-06-13_2022-06-19,59746.1670091434,"[35373.0, 4109.0, 396.0, 29.0, 3.0, 2.0, 0.0]","[35400.635242066375, 4055.7341474130535, 398.4676060473051, 25.86945504433826, 6.032798697063244, 0.5798483946440207, 0.19750446123776622]","[1211523539.108659, 138709784.1128744, 13615832.178903678, 882294.8713783558, 204753.7950926292, 19403.62516546942, 7139.195899311368]",192396.3
2022-06-20_2022-06-26,59753.167018634485,"[16455.0, 1955.0, 177.0, 7.0, 5.0, 1.0, 0.0]","[16613.497400696364, 1897.9115255342435, 183.47894482203486, 11.151583097870619, 2.788593825923965, 0.1920420287067276, 0.06686858983932206]","[571813259.2402513, 65263967.84301366, 6294920.085231836, 382258.90832015657, 96185.00029593626, 6603.494595506327, 2320.314531192172]",104429.6
