# ra : 330.75, dec : 42.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2022-01-17_2022-01-23,59599.16700868019,"[32697.0, 3605.0, 363.0, 16.0, 10.0, 0.0, 0.0]","[32529.36378587035, 3643.064952556874, 362.6462232858358, 23.16779782744647, 6.264651511210538, 0.4258577251736487, 0.16385455150120418]","[1098384783.9893465, 123092870.15422535, 12283632.431415768, 786030.7874354505, 212103.9086315712, 14511.477187288636, 6147.471663194345]",171101.2
2022-01-24_2022-01-30,59606.16685833294,"[38172.0, 4316.0, 431.0, 26.0, 4.0, 0.0, 0.0]","[37960.44688552556, 4296.699447205784, 424.62139586431266, 26.90824181946215, 6.698533718100845, 0.5412032986850622, 0.19588049006163719]","[1283640226.8521152, 145406756.3438592, 14397580.711880242, 913359.7251688059, 227372.41919659908, 18890.86900578148, 6528.9499456861]",200294.8
2022-01-31_2022-02-06,59613.16693032354,"[38248.0, 4427.0, 423.0, 39.0, 8.0, 0.0, 0.0]","[38105.85346997717, 4319.4782845327745, 430.9186715859609, 28.335340632088982, 7.28793160839953, 0.5874114868509707, 0.1856159517847469]","[1302310877.0718894, 147762650.4191585, 14765830.935890434, 971007.6778774932, 250796.63258401473, 21007.68689815759, 5330.476209460162]",202977.0
2022-02-07_2022-02-13,59620.16686990748,"[33198.0, 3950.0, 348.0, 36.0, 7.0, 0.0, 1.0]","[33553.09393077974, 3816.649726331141, 379.80762762856875, 25.028440880089928, 6.417375759874572, 0.44611855868110184, 0.24817882896075996]","[1154956828.055416, 131419982.25796849, 13079377.949387027, 862156.783481386, 221109.22826486608, 15735.394629538396, 8476.256017728607]",184258.6
2022-02-14_2022-02-20,59627.16690486121,"[12470.0, 1384.0, 128.0, 11.0, 1.0, 1.0, 0.0]","[12460.406178577274, 1415.7683989611378, 141.49898973508394, 9.01997866983073, 2.309945637042905, 0.17678700070008263, 0.04259164072376642]","[401388775.42444396, 45448334.77190331, 4510108.656890271, 287754.231886406, 74801.32666005644, 5589.501725348636, 1282.096673300613]",74349.8
2022-02-21_2022-02-27,59634.16683993064,"[23290.0, 2707.0, 272.0, 20.0, 4.0, 1.0, 0.0]","[23438.066561195214, 2657.487488988427, 263.63372746579995, 17.00072084358357, 4.384543086329611, 0.4059436219864685, 0.11121010685000458]","[761795686.6615164, 86226707.42085432, 8547697.242178867, 551493.5659762326, 140399.7454902498, 12756.739971283372, 3919.4034085421977]",144748.9
2022-02-28_2022-03-06,59641.166850115726,"[36280.0, 4026.0, 359.0, 28.0, 9.0, 1.0, 0.0]","[36101.79125131576, 4021.96871154386, 394.10775378568263, 26.503469228356675, 6.702292777215354, 0.5182928017401617, 0.18343060219918375]","[1223888783.767206, 136358995.68171826, 13366633.829562007, 898954.0037317045, 226273.80163006147, 17599.96366632109, 6013.861789392695]",198608.4
2022-03-07_2022-03-13,59648.16671736075,"[31939.0, 3606.0, 339.0, 23.0, 5.0, 0.0, 1.0]","[32100.284097632615, 3535.0137719056747, 337.150021675854, 21.921005336293454, 5.368277887839438, 0.37771733592942563, 0.1530859448314876]","[1049113074.7965256, 115448837.41541386, 10999359.924930409, 719331.5603650631, 176732.36958570077, 12231.863889906977, 4846.653540916281]",186728.9
2022-03-14_2022-03-20,59655.16690104192,"[33213.0, 3603.0, 332.0, 27.0, 3.0, 2.0, 0.0]","[32755.16321375567, 3601.390734678611, 339.22697963966476, 21.360210793930847, 5.4697930856454775, 0.4537867659124275, 0.13530405102899734]","[1118025379.2351387, 122773050.51591514, 11561994.81723941, 726052.6861550161, 186469.50629892753, 15737.029322999451, 5325.218232291076]",197422.5
2022-03-21_2022-03-27,59662.16696226853,"[33131.0, 3624.0, 369.0, 27.0, 5.0, 1.0, 0.0]","[33331.45148650917, 3668.032070773777, 343.57309427950605, 21.377974157265236, 5.780550451302645, 0.4506670469722239, 0.148372399682734]","[1127900891.2567143, 124136385.82341968, 11623304.269735355, 724421.9847480732, 195905.38142589014, 14977.90625782999, 4897.238327264378]",192592.3
2022-03-28_2022-04-03,59669.166778935,"[29661.0, 3350.0, 298.0, 29.0, 1.0, 2.0, 1.0]","[29171.623235462637, 3189.9729050264127, 304.9101351320643, 19.544772402798806, 4.653521946852666, 0.3398911382746609, 0.1041249040979702]","[1007337377.8682568, 110034066.93082207, 10498863.934791723, 672594.5874524434, 159793.63801192006, 12296.359869509854, 4461.812632237952]",183338.7
2022-04-04_2022-04-10,59676.16661817132,"[21328.0, 2207.0, 236.0, 21.0, 3.0, 0.0, 0.0]","[21099.780318100507, 2265.459888252365, 211.40009378669222, 13.850656163054689, 3.3621786603829213, 0.26912473799544395, 0.09138691015897835]","[710543972.1801175, 76240695.09164362, 7105554.950385479, 465031.05311037024, 113710.62143146168, 9284.31892280264, 3480.0117747723507]",155579.5
2022-04-11_2022-04-17,59683.16650127327,"[32207.0, 3488.0, 318.0, 18.0, 6.0, 0.0, 0.0]","[32412.239644683796, 3470.2601124520024, 319.5471088960672, 19.36414405434917, 4.728106601192609, 0.45536975559803955, 0.15217734842677186]","[1113311929.6583152, 119517073.39426586, 11015126.281541074, 667526.1160802239, 163305.43565360626, 14874.23650337078, 5660.415722005344]",202527.5
2022-04-18_2022-04-24,59690.16679131911,"[26889.0, 2972.0, 260.0, 19.0, 1.0, 0.0, 1.0]","[26585.309595526927, 2891.6603418476216, 273.24055579332503, 17.122197583798435, 4.310638623853718, 0.33149705023984183, 0.0949427879263881]","[900958201.6924237, 97953233.79171886, 9244088.678426288, 579084.8448812636, 145102.93671953538, 11090.718817063786, 3459.4447501703453]",166876.9
2022-04-25_2022-05-01,59697.16674571783,"[19270.0, 2219.0, 215.0, 14.0, 3.0, 1.0, 0.0]","[19388.865248016988, 2239.3736922314392, 218.8219863780695, 14.189632338239335, 3.6656503992954788, 0.3285722260278862, 0.07128970338167838]","[642399187.3513819, 73848019.22527072, 7189311.910703865, 464240.4050795632, 120360.09913454828, 10728.384952035394, 2688.300298091214]",131895.3
2022-05-02_2022-05-08,59704.16650463019,"[33282.0, 3829.0, 382.0, 18.0, 4.0, 0.0, 0.0]","[33354.93052633643, 3864.943561260377, 385.9489739317674, 24.315168426550187, 6.073541315669998, 0.5853480636246482, 0.10439695328983745]","[1128234872.8496466, 130758479.87361535, 13057332.435301013, 821152.0689070066, 205169.81719293867, 19036.691699960473, 3440.880623639682]",195919.2
2022-05-09_2022-05-15,59711.16671157407,"[31315.0, 3622.0, 382.0, 24.0, 7.0, 0.0, 0.0]","[31026.556539107183, 3572.796973139644, 353.8604537459772, 21.95391851120825, 5.377458508123167, 0.44662987007888705, 0.14759475496515062]","[1063217618.5780636, 122452468.31987017, 12122079.264465746, 752969.4548349396, 184605.87472807098, 15535.5557370291, 4507.1054633746035]",182858.4
2022-05-16_2022-05-22,59718.16637986089,"[28995.0, 3371.0, 329.0, 21.0, 3.0, 0.0, 1.0]","[28997.86322608534, 3367.509954870199, 335.8505482844799, 19.671076144979217, 5.198127044884638, 0.4563973084049427, 0.15834636593903917]","[974269209.6882517, 113137864.42585808, 11283355.75502577, 660998.8857754478, 175432.53684444877, 15221.124149415664, 5211.919077123566]",164412.7
2022-05-23_2022-05-29,59725.16671539346,"[33315.0, 3797.0, 377.0, 23.0, 5.0, 1.0, 0.0]","[33377.49002853309, 3837.040004366092, 373.9886898097521, 22.381986119526747, 5.268124078221214, 0.39227804707269426, 0.184004721333866]","[1103954920.0854766, 126930220.92876898, 12349836.14880431, 737938.2837876611, 174358.84995844858, 12716.628129726045, 5722.933731092929]",184598.6
2022-05-30_2022-06-05,59732.16694317115,"[35670.0, 4146.0, 414.0, 29.0, 5.0, 1.0, 0.0]","[35830.84351274012, 4164.303837404757, 406.55695196131677, 24.832390424698065, 6.029371401646635, 0.5367777047951439, 0.22660034976861082]","[1236697341.6330016, 143718344.2014257, 14018443.166227952, 855319.6343954549, 208775.44319987885, 17967.755807790545, 7678.95446919602]",204384.1
