# ra : 104.06, dec : 42.6
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2022-01-24_2022-01-30,59606.16685833294,"[39670.0, 4488.0, 470.0, 32.0, 9.0, 0.0, 0.0]","[39639.6047807049, 4453.999639248126, 430.3638972035337, 29.06898796573673, 7.050797974661303, 0.7218478414972243, 0.21111175835082252]","[1366586772.7648127, 153582074.55817303, 14819658.381895063, 998736.2758557735, 241669.76780465507, 24537.170266626144, 7194.1715378106]",206157.2
2022-01-31_2022-02-06,59613.16693032354,"[39227.0, 4483.0, 438.0, 43.0, 6.0, 0.0, 0.0]","[39145.96378336585, 4440.455855465523, 434.7534107717525, 31.109002481761312, 7.0678381270263575, 0.7454195407350286, 0.23784242048625043]","[1355636123.625864, 153574732.4634456, 15020227.72191546, 1072271.7556247772, 243969.12553045538, 25638.275143709638, 7844.620260591154]",206164.6
2022-02-07_2022-02-13,59620.16686990748,"[39411.0, 4561.0, 418.0, 29.0, 4.0, 1.0, 0.0]","[39288.610786048295, 4436.239411827502, 427.7427731490031, 30.254933414756312, 6.717149338860949, 0.7317670784715175, 0.17614815080013546]","[1361670929.5503843, 153617814.95861432, 14791207.961374728, 1046699.1438155267, 232563.58430521947, 24879.551256956544, 5945.190031451456]",206132.0
2022-02-14_2022-02-20,59627.16690486121,"[38177.0, 4321.0, 413.0, 34.0, 10.0, 1.0, 0.0]","[38357.27875967121, 4251.955530128367, 409.2417902402768, 27.872908852295474, 6.590121820162276, 0.7277371572574189, 0.162080505924761]","[1314391546.9115806, 145456695.62364227, 13967288.24861252, 948356.2299160218, 223799.54121584847, 24021.300505875934, 5929.223198493493]",177323.4
2022-02-21_2022-02-27,59634.16683993064,"[37594.0, 4092.0, 362.0, 32.0, 8.0, 3.0, 0.0]","[37234.164069919294, 4128.311657237429, 392.221265589516, 27.325491015526136, 6.421877864261415, 0.6375194630912456, 0.21891065443647478]","[1288597442.338663, 142725010.86276755, 13561494.276882742, 942345.627101933, 221776.04597084032, 21330.09734810723, 8078.00266734201]",191034.7
2022-02-28_2022-03-06,59641.166850115726,"[37708.0, 4221.0, 400.0, 33.0, 10.0, 1.0, 0.0]","[37415.613453810576, 4184.262893264104, 400.282513219263, 27.727163883214153, 6.014666531136866, 0.5171897295482428, 0.1970122500690687]","[1294896524.45266, 144664457.77517787, 13830238.784729298, 957327.102784172, 208600.55204834288, 18474.760372945355, 6718.791714803169]",206336.8
2022-03-07_2022-03-13,59648.16671736075,"[33918.0, 3801.0, 350.0, 23.0, 6.0, 1.0, 0.0]","[33754.90086950107, 3694.8020819096696, 343.2655509020772, 23.100135705929755, 5.533135927008396, 0.5902687846185749, 0.12320259001443792]","[1121649689.0889194, 122749390.94603287, 11402722.941074252, 768510.9821069628, 183347.74563967218, 19232.785597041013, 4039.483902179526]",190723.9
2022-03-14_2022-03-20,59655.16690104192,"[36243.0, 3893.0, 339.0, 24.0, 7.0, 2.0, 0.0]","[36147.66706082581, 3946.7294099226137, 358.79034112289344, 24.082498450968313, 5.375006770878571, 0.43916029583702293, 0.12606871390808888]","[1247769872.738027, 136139684.74549958, 12382037.432411062, 830779.521301097, 186057.15770364093, 15178.54400382015, 4709.541172755036]",206244.1
2022-03-21_2022-03-27,59662.16696226853,"[36639.0, 4022.0, 383.0, 30.0, 10.0, 3.0, 0.0]","[36539.93480997169, 3984.571787605614, 367.51191398539015, 24.220115817523048, 5.544379149208584, 0.471210797492602, 0.18961674117121582]","[1254659668.5030496, 136720930.52819526, 12614493.467965966, 830682.1999853675, 191464.34224107166, 16434.224597742283, 6912.037007982002]",204909.8
2022-03-28_2022-04-03,59669.166778935,"[33687.0, 3640.0, 362.0, 24.0, 8.0, 0.0, 0.0]","[33837.33548325918, 3659.544061844744, 338.3464946740383, 22.532995921589595, 4.758091207493574, 0.47209810405790875, 0.11313842011820553]","[1150461176.3192554, 124343929.80529691, 11501194.965028247, 766490.6719637844, 162175.81465534575, 17303.677835670118, 4072.2760679489666]",199537.3
2022-04-04_2022-04-10,59676.16661817132,"[28163.0, 2954.0, 258.0, 23.0, 2.0, 1.0, 0.0]","[28152.045343906833, 2957.9863224940123, 266.23745471157673, 17.491363296998188, 4.2741713816399916, 0.3599050543665049, 0.10509935690538383]","[869175524.7545185, 91834547.61533849, 8303031.163202973, 547327.4908832825, 132178.35737370775, 10972.96817882025, 3844.999156080881]",176458.7
2022-04-11_2022-04-17,59683.16650127327,"[34704.0, 3673.0, 336.0, 26.0, 4.0, 0.0, 0.0]","[34669.87319490939, 3700.3638913747536, 329.7404075801945, 21.873282119840827, 5.169085220171215, 0.39480938032612395, 0.1692654194226696]","[1188803056.0475657, 126888232.48951417, 11325516.906161387, 753916.4263653709, 178389.03998660293, 13609.416745955381, 5882.868126975089]",204524.4
