source_id,survey,asas_sn_id,mjd,jd,phot_filter,mag,mag_err,flux,flux_err,limit,fwhm,image_id,camera,quality
mkn421,ASAS-SN Sky Patrol,128849645138,59593.37295120023,2459593.8729512,g,12.791695810404084,0.005214895919006431,27.755427746536967,0.133162333534838,16.841687118638095,1.47,bC302676,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59595.29793930007,2459595.7979393,g,12.865929996803994,0.014055166292269394,25.921149101944298,0.33517997622537365,15.839445446888021,1.68,bs408014,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59596.29851409979,2459596.7985141,g,12.964240462480912,0.0059504740355318005,23.67718480529635,0.12961923554493168,16.870966971974397,1.50,bs408447,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59601.46808259981,2459601.9680826,g,12.992289394500487,0.003469220652395348,23.073341349029228,0.07364279134159417,17.484815007554918,2.15,bC306021,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59604.555600800086,2459605.0556008,g,13.052500108559983,0.0027742465395932145,21.828616225430256,0.05571332598530754,17.787742896861097,1.50,bC307293,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59607.33690290013,2459607.8369029,g,12.970466241803752,0.003340229266485986,23.54180468183527,0.07234422298542995,17.504130970307013,1.41,bC308378,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59608.378144999966,2459608.878145,g,13.017626962551942,0.003295783068752574,22.541118591778357,0.06834738604508482,17.565835837514832,1.46,bs412679,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59610.38565750001,2459610.8856575,g,12.980723622873471,0.003164562606201171,23.32044319597332,0.06789508229817444,17.573044813742072,1.49,bC309671,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59616.4129794999,2459616.9129795,g,12.970070476060936,0.0033978774270521776,23.55038755682561,0.07361962385545476,17.48515662600045,1.50,bC311572,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59617.334595699795,2459617.8345957,g,12.958497021365009,0.0037452772402993134,23.802766723208205,0.08201612362741871,17.36789251359062,1.78,bC311921,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59619.18720149994,2459619.6872015,g,12.939827340646648,0.005563420047904194,24.215604373875365,0.12394385253807592,16.919578133521224,1.47,bs414229,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59620.4083552002,2459620.9083552,g,12.88607134185813,0.003985677146070026,25.44472211024895,0.09330129161068816,17.227921471649566,1.42,bC313232,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59621.546611899976,2459622.0466119,g,12.974517235992085,0.003423087722354783,23.454131431933952,0.07386270539569664,17.48157758477864,1.57,bC313759,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59623.3657062999,2459623.8657063,g,12.946071067962242,0.004787373184936458,24.07674769512204,0.1060432261924193,17.08893328153163,1.50,bC314493,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59624.355216499884,2459624.8552165,g,12.936312734687494,0.006183149993001713,24.294119032102262,0.1381970473694598,16.801393700750662,1.52,bs416334,bs,G
